SNCT_SEQ,REG_DT,MAX_SPD,CCTV_CNT,FCLTY_NM,ROAD_WDT,CCTV_YN,ADDR,SIGUN_CD,SIGUN_NM,X,Y,FCLTY_TY,GEOM,DATA_TYPE
19143,20190331,30,1,염동초등학교,7,1 ,서울특별시 강서구 양천로73길 17 (염창동) .,11500,강서구,126.87274536022147,37.55161972239868,1,"POLYGON((126.87199270068335 37.553038809903406,126.87189105254245 37.55291931750041,126.87188534395439 37.55294859372354,126.871051667638 37.55344289940355,126.87108839746296 37.55347222192435,126.87110252044694 37.55348575230304,126.87191069139477 37.55301619603133,126.87199270068335 37.553038809903406))",C0103
18965,20190331,30,2,가곡초등학교,12~15,1 ,서울특별시 강서구 공항대로36길 74 (마곡동) .,11500,강서구,126.83621831735805,37.554989156082094,1,"POLYGON((126.83689720341766 37.554881589689984,126.83686916572704 37.554764421373044,126.83676155910311 37.55480707000143,126.83667383119399 37.554815958650956,126.83631439696504 37.55486726822591,126.83608518909384 37.55488271769376,126.83338832889198 37.55511995959732,126.83266968427117 37.555118943333966,126.83270911333392 37.55520008890787,126.83316746197166 37.55520073742918,126.83622934542682 37.55494598750505,126.8363340296541 37.55494613265899,126.83689720341766 37.554881589689984))",C0103
18966,20190331,30,0,가곡초등학교,30,2 ,서울특별시 강서구 공항대로36길 74 (마곡동) .,11500,강서구,126.83621831735805,37.554989156082094,1,"POLYGON((126.83707957325092 37.55428718356132,126.83673423418543 37.5543632912834,126.83712773542891 37.55555765546729,126.83746743075098 37.55547703386236,126.83707957325092 37.55428718356132))",C0103
18967,20190331,30,0,가곡초등학교,18~20,2 ,서울특별시 강서구 공항대로36길 74 (마곡동) .,11500,강서구,126.83621831735805,37.554989156082094,1,"POLYGON((126.83523148401933 37.557113748511526,126.83493330094028 37.55504554487072,126.83470690663005 37.55506775307052,126.83503055297633 37.557133740358566,126.83523148401933 37.557113748511526))",C0103
18968,20190331,30,0,가곡초등학교,12~16,2 ,서울특별시 강서구 공항대로36길 74 (마곡동) .,11500,강서구,126.83621831735805,37.554989156082094,1,"POLYGON((126.83657816725368 37.555867739942535,126.83655849471279 37.555806895439545,126.83506146326302 37.555946720642034,126.83484644825435 37.555939662609596,126.8329838354404 37.556116120147486,126.83299829567574 37.55620285701337,126.83485191306997 37.556027517421114,126.8350754560785 37.55601656742436,126.83657816725368 37.555867739942535))",C0103
18969,20190331,30,2,발산초등학교,10,1 ,서울특별시 강서구 강서로45길 113 (내발산동) .,11500,강서구,126.83158531732091,37.55019491498611,1,"POLYGON((126.83275917156035 37.548201348348655,126.83288148982442 37.548101937601494,126.83307222608154 37.54803581806409,126.83325985736562 37.54802659901475,126.83324518416056 37.54792936536656,126.83309627154021 37.547936267986316,126.83289501605157 37.54796984929954,126.83271653489192 37.54808222130437,126.83262860286919 37.54818571144185,126.83212279453868 37.54918284833074,126.83185855117922 37.54968928347642,126.83129570290923 37.550880049738346,126.83101723597271 37.55141574493131,126.83018517171055 37.55312541889132,126.83030423306509 37.553154042630034,126.83109053004061 37.551532979442534,126.83135475469503 37.551040061118556,126.83173558822884 37.55027250417875,126.83201989604873 37.549651220723504,126.83275917156035 37.548201348348655))",C0103
18971,20190331,30,2,내발산초등학교,8~10,1 ,서울특별시 강서구 강서로46길 23 (내발산동) .,11500,강서구,126.83828136254975,37.550863572490194,1,"POLYGON((126.83926589212655 37.55076207020956,126.8365404696905 37.550768352366056,126.83654922108234 37.55084483884465,126.83925316423206 37.550839651314476,126.83926589212655 37.55076207020956))",C0103
19144,20190331,30,2,염창초등학교,7~9,1 ,서울특별시 강서구 양천로 646-28 (염창동) .,11500,강서구,126.86805499107973,37.55227053564923,1,"POLYGON((126.86904653185216 37.55321976451371,126.8678133452633 37.551780029904464,126.867738520526 37.55182065498697,126.86815646314581 37.55233372774549,126.86897170634178 37.5532603894653,126.86904653185216 37.55321976451371))",C0103
19145,20190331,30,3,염창초등학교,9~13,1 ,서울특별시 강서구 양천로 646-28 (염창동) .,11500,강서구,126.86805499107973,37.55227053564923,1,"POLYGON((126.86966701634745 37.55085101117503,126.86958510435512 37.55077433592408,126.8695454334408 37.550810332011466,126.86944346612334 37.550877794142245,126.86813509941338 37.55161290584313,126.8677754471653 37.551808470621275,126.86598031773103 37.552601577042566,126.86604241137135 37.55268498976741,126.86614718523258 37.55263330123547,126.86752894095424 37.552015423759514,126.8678120794257 37.55189185391274,126.86948008800739 37.55096793440194,126.86966701634745 37.55085101117503))",C0103
19146,20190331,30,1,염창초등학교,10~11,1 ,서울특별시 강서구 양천로 646-28 (염창동) .,11500,강서구,126.86805499107973,37.55227053564923,1,"POLYGON((126.86727352737398 37.55405364351883,126.86686716179568 37.553463032811806,126.86623778065392 37.55259961649763,126.86613017365275 37.55265355439183,126.8671602684676 37.554103070997904,126.86727352737398 37.55405364351883))",C0103
